Total number of exoplanets : 3827
 
 Radii Range (R_E)    Occurrence Rate (%)    # of Exoplanets    0.0 - 0.5    0.5 - 1.0    1.0 - 1.5    1.5 - 2.0    2.0 - 2.5    2.5 - 3.0    3.0 - 4.0    4.0 - 6.0    6.0 - 10.0    > 10.0
-------------------  ---------------------  -----------------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  ------------  --------
       0 - 1                 5.59                  214             27           126          54            4            2            0            1            0            0           0
       1 - 2                 33.03                1264             108          780          321          45            8            1            0            1            0           0
       2 - 3                 29.14                1115             47           704          298          59            5            2            0            0            0           0
       3 - 4                 9.17                  351              3           184          114          38            9            2            1            0            0           0
       4 - 5                 2.98                  114              1           57           33           16            3            2            1            1            0           0
       5 - 6                 1.44                  55               1           24           16           11            0            0            3            0            0           0
       6 - 7                 1.12                  43               1           23           11            5            1            2            0            0            0           0
       7 - 8                 0.65                  25               0            9           11            3            0            1            1            0            0           0
       8 - 9                  1.1                  42               0           23           13            4            2            0            0            0            0           0
      9 - 10                 1.05                  40               0           14           19            4            0            1            1            1            0           0
      10 - 11                1.67                  64               2           33           18            9            0            1            0            1            0           0
      11 - 12                2.19                  84               3           45           19           12            2            2            1            0            0           0
      12 - 13                2.09                  80               1           34           40            3            1            1            0            0            0           0
      13 - 14                2.06                  79               0           23           42           10            2            1            0            1            0           0
      14 - 15                1.75                  67               0           15           32           18            2            0            0            0            0           0
      15 - 16                1.38                  53               0            5           29           16            2            0            0            0            1           0
      16 - 17                0.91                  35               1            6           11           12            4            0            0            0            0           1
      17 - 18                0.84                  32               0            2            4           23            2            1            0            0            0           0
      18 - 19                0.47                  18               0            0            6            7            4            1            0            0            0           0
      19 - 20                0.31                  12               0            0            2            5            5            0            0            0            0           0
      20 - 21                0.26                  10               1            1            2            5            1            0            0            0            0           0
      21 - 22                0.13                   5               0            0            0            5            0            0            0            0            0           0
      22 - 23                0.08                   3               0            1            0            0            0            1            1            0            0           0
      23 - 24                0.08                   3               0            1            0            1            0            1            0            0            0           0
      24 - 25                  0                    0               0            0            0            0            0            0            0            0            0           0
      25 - 26                0.03                   1               0            0            0            0            0            0            1            0            0           0
      26 - 27                  0                    0               0            0            0            0            0            0            0            0            0           0
      27 - 28                0.03                   1               0            1            0            0            0            0            0            0            0           0
      28 - 29                  0                    0               0            0            0            0            0            0            0            0            0           0
      29 - 30                0.03                   1               0            0            0            0            1            0            0            0            0           0
      30 - 31                0.05                   2               0            0            2            0            0            0            0            0            0           0
      31 - 32                  0                    0               0            0            0            0            0            0            0            0            0           0
      32 - 33                  0                    0               0            0            0            0            0            0            0            0            0           0
       > 33                  0.37                  14               0            9            2            1            0            0            0            0            1           1
 
 
* Data was taken on 24th February, 2022 from NASA Exoplanet Archive
* Unit of radius is in Earth Radii
