Total number of exoplanets : 472
 
 Radii Range (R_E)    Occurrence Rate (%)    # of Exoplanets    0.0 - 0.5    0.5 - 1.0    1.0 - 1.5    1.5 - 2.0    2.0 - 2.5    2.5 - 3.0    3.0 - 4.0    4.0 - 6.0    6.0 - 10.0    > 10.0
-------------------  ---------------------  -----------------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  ------------  --------
       0 - 1                 3.39                  16               7            8            1            0            0            0            0            0            0           0
       1 - 2                 34.75                 164             32           112          18            2            0            0            0            0            0           0
       2 - 3                 37.5                  177             17           126          30            4            0            0            0            0            0           0
       3 - 4                 9.53                  45               2           24           12            5            2            0            0            0            0           0
       4 - 5                 3.18                  15               0            9            4            2            0            0            0            0            0           0
       5 - 6                 1.69                   8               0            2            5            1            0            0            0            0            0           0
       6 - 7                 1.69                   8               1            3            1            0            1            2            0            0            0           0
       7 - 8                 0.42                   2               0            1            0            1            0            0            0            0            0           0
       8 - 9                 1.06                   5               0            2            2            1            0            0            0            0            0           0
      9 - 10                 1.06                   5               0            1            2            2            0            0            0            0            0           0
      10 - 11                1.48                   7               0            2            3            1            0            0            0            1            0           0
      11 - 12                1.27                   6               0            2            1            2            0            1            0            0            0           0
      12 - 13                1.06                   5               0            2            2            0            0            1            0            0            0           0
      13 - 14                0.64                   3               0            2            1            0            0            0            0            0            0           0
      14 - 15                0.21                   1               0            0            0            1            0            0            0            0            0           0
      15 - 16                0.21                   1               0            0            0            1            0            0            0            0            0           0
      16 - 17                0.21                   1               0            0            0            0            1            0            0            0            0           0
      17 - 18                0.42                   2               0            0            0            2            0            0            0            0            0           0
      18 - 19                0.21                   1               0            0            1            0            0            0            0            0            0           0
      19 - 20                  0                    0               0            0            0            0            0            0            0            0            0           0
      20 - 21                  0                    0               0            0            0            0            0            0            0            0            0           0
      21 - 22                  0                    0               0            0            0            0            0            0            0            0            0           0
      22 - 23                  0                    0               0            0            0            0            0            0            0            0            0           0
      23 - 24                  0                    0               0            0            0            0            0            0            0            0            0           0
      24 - 25                  0                    0               0            0            0            0            0            0            0            0            0           0
      25 - 26                  0                    0               0            0            0            0            0            0            0            0            0           0
      26 - 27                  0                    0               0            0            0            0            0            0            0            0            0           0
      27 - 28                  0                    0               0            0            0            0            0            0            0            0            0           0
      28 - 29                  0                    0               0            0            0            0            0            0            0            0            0           0
      29 - 30                  0                    0               0            0            0            0            0            0            0            0            0           0
      30 - 31                  0                    0               0            0            0            0            0            0            0            0            0           0
      31 - 32                  0                    0               0            0            0            0            0            0            0            0            0           0
      32 - 33                  0                    0               0            0            0            0            0            0            0            0            0           0
       > 33                    0                    0               0            0            0            0            0            0            0            0            0           0
 
 
* Data was taken on 24th February, 2022 from NASA Exoplanet Archive
* Unit of radius is in Earth Radii
