Total number of exoplanets : 2692
 
 Radii Range (R_E)    Occurrence Rate (%)    # of Exoplanets    0.0 - 0.5    0.5 - 1.0    1.0 - 1.5    1.5 - 2.0    2.0 - 2.5    2.5 - 3.0    3.0 - 4.0    4.0 - 6.0    6.0 - 10.0    > 10.0
-------------------  ---------------------  -----------------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  ------------  --------
       0 - 1                 7.06                  190             13           118          53            4            2            0            0            0            0           0
       1 - 2                 38.34                1032             44           639          298          43            7            1            0            0            0           0
       2 - 3                 32.76                 882             18           541          261          55            5            2            0            0            0           0
       3 - 4                 10.55                 284              0           142          99           33            7            2            1            0            0           0
       4 - 5                 3.08                  83               0           35           27           14            3            2            1            1            0           0
       5 - 6                 1.49                  40               0           17           10           10            0            0            3            0            0           0
       6 - 7                 0.93                  25               0           15            7            3            0            0            0            0            0           0
       7 - 8                 0.74                  20               0            7            9            2            0            1            1            0            0           0
       8 - 9                 0.89                  24               0           12            8            2            2            0            0            0            0           0
      9 - 10                 0.56                  15               0            4            9            1            0            0            0            1            0           0
      10 - 11                0.85                  23               0            9            8            5            0            1            0            0            0           0
      11 - 12                0.71                  19               0           11            3            3            0            1            1            0            0           0
      12 - 13                0.45                  12               0            5            6            0            1            0            0            0            0           0
      13 - 14                0.33                   9               0            2            5            0            1            0            0            1            0           0
      14 - 15                0.19                   5               0            3            1            1            0            0            0            0            0           0
      15 - 16                0.22                   6               0            0            3            2            0            0            0            0            1           0
      16 - 17                0.07                   2               0            0            1            0            0            0            0            0            0           1
      17 - 18                0.07                   2               0            1            0            1            0            0            0            0            0           0
      18 - 19                  0                    0               0            0            0            0            0            0            0            0            0           0
      19 - 20                0.04                   1               0            0            1            0            0            0            0            0            0           0
      20 - 21                  0                    0               0            0            0            0            0            0            0            0            0           0
      21 - 22                  0                    0               0            0            0            0            0            0            0            0            0           0
      22 - 23                0.07                   2               0            1            0            0            0            0            1            0            0           0
      23 - 24                0.04                   1               0            1            0            0            0            0            0            0            0           0
      24 - 25                  0                    0               0            0            0            0            0            0            0            0            0           0
      25 - 26                0.04                   1               0            0            0            0            0            0            1            0            0           0
      26 - 27                  0                    0               0            0            0            0            0            0            0            0            0           0
      27 - 28                0.04                   1               0            1            0            0            0            0            0            0            0           0
      28 - 29                  0                    0               0            0            0            0            0            0            0            0            0           0
      29 - 30                  0                    0               0            0            0            0            0            0            0            0            0           0
      30 - 31                0.04                   1               0            0            1            0            0            0            0            0            0           0
      31 - 32                  0                    0               0            0            0            0            0            0            0            0            0           0
      32 - 33                  0                    0               0            0            0            0            0            0            0            0            0           0
       > 33                  0.45                  12               0            8            2            0            0            0            0            0            1           1
 
 
* Data was taken on 24th February, 2022 from NASA Exoplanet Archive
* Unit of radius is in Earth Radii
