Total number of exoplanets : 470
 
 Radii Range (R_E)    Occurrence Rate (%)    # of Exoplanets    0.0 - 0.5    0.5 - 1.0    1.0 - 1.5    1.5 - 2.0    2.0 - 2.5    2.5 - 3.0    3.0 - 4.0    4.0 - 6.0    6.0 - 10.0    > 10.0
-------------------  ---------------------  -----------------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  ------------  --------
       0 - 1                 0.64                   3               3            0            0            0            0            0            0            0            0           0
       1 - 2                  3.4                  16               8            6            2            0            0            0            0            0            0           0
       2 - 3                 1.49                   7               1            4            2            0            0            0            0            0            0           0
       3 - 4                 0.64                   3               0            3            0            0            0            0            0            0            0           0
       4 - 5                 1.49                   7               1            5            1            0            0            0            0            0            0           0
       5 - 6                 0.21                   1               0            1            0            0            0            0            0            0            0           0
       6 - 7                 1.49                   7               0            5            2            0            0            0            0            0            0           0
       7 - 8                 0.21                   1               0            0            1            0            0            0            0            0            0           0
       8 - 9                 1.91                   9               0            6            3            0            0            0            0            0            0           0
      9 - 10                 2.98                  14               0            9            5            0            0            0            0            0            0           0
      10 - 11                 6.6                  31               2           22            5            2            0            0            0            0            0           0
      11 - 12                10.43                 49               2           29           13            5            0            0            0            0            0           0
      12 - 13                11.7                  55               1           25           26            3            0            0            0            0            0           0
      13 - 14                13.83                 65               0           18           36            9            1            1            0            0            0           0
      14 - 15                11.91                 56               0           12           30           13            1            0            0            0            0           0
      15 - 16                9.36                  44               0            5           26           11            2            0            0            0            0           0
      16 - 17                6.17                  29               1            5           10           10            3            0            0            0            0           0
      17 - 18                5.53                  26               0            1            4           19            2            0            0            0            0           0
      18 - 19                3.62                  17               0            0            5            7            4            1            0            0            0           0
      19 - 20                2.13                  10               0            0            1            5            4            0            0            0            0           0
      20 - 21                2.13                  10               1            1            2            5            1            0            0            0            0           0
      21 - 22                1.06                   5               0            0            0            5            0            0            0            0            0           0
      22 - 23                0.21                   1               0            0            0            0            0            1            0            0            0           0
      23 - 24                0.43                   2               0            0            0            1            0            1            0            0            0           0
      24 - 25                  0                    0               0            0            0            0            0            0            0            0            0           0
      25 - 26                  0                    0               0            0            0            0            0            0            0            0            0           0
      26 - 27                  0                    0               0            0            0            0            0            0            0            0            0           0
      27 - 28                  0                    0               0            0            0            0            0            0            0            0            0           0
      28 - 29                  0                    0               0            0            0            0            0            0            0            0            0           0
      29 - 30                  0                    0               0            0            0            0            0            0            0            0            0           0
      30 - 31                0.21                   1               0            0            1            0            0            0            0            0            0           0
      31 - 32                  0                    0               0            0            0            0            0            0            0            0            0           0
      32 - 33                  0                    0               0            0            0            0            0            0            0            0            0           0
       > 33                  0.21                   1               0            0            0            1            0            0            0            0            0           0
 
 
* Data was taken on 24th February, 2022 from NASA Exoplanet Archive
* Unit of radius is in Earth Radii
