Total number of exoplanets : 193
 
 Radii Range (R_E)    Occurrence Rate (%)    # of Exoplanets    0.0 - 0.5    0.5 - 1.0    1.0 - 1.5    1.5 - 2.0    2.0 - 2.5    2.5 - 3.0    3.0 - 4.0    4.0 - 6.0    6.0 - 10.0    > 10.0
-------------------  ---------------------  -----------------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  ------------  --------
       0 - 1                 2.59                   5               4            0            0            0            0            0            1            0            0           0
       1 - 2                 26.94                 52              24           23            3            0            1            0            0            1            0           0
       2 - 3                 25.39                 49              11           33            5            0            0            0            0            0            0           0
       3 - 4                 9.84                  19               1           15            3            0            0            0            0            0            0           0
       4 - 5                 4.66                   9               0            8            1            0            0            0            0            0            0           0
       5 - 6                 3.11                   6               1            4            1            0            0            0            0            0            0           0
       6 - 7                 1.55                   3               0            0            1            2            0            0            0            0            0           0
       7 - 8                 1.04                   2               0            1            1            0            0            0            0            0            0           0
       8 - 9                 2.07                   4               0            3            0            1            0            0            0            0            0           0
      9 - 10                 3.11                   6               0            0            3            1            0            1            1            0            0           0
      10 - 11                1.55                   3               0            0            2            1            0            0            0            0            0           0
      11 - 12                5.18                  10               1            3            2            2            2            0            0            0            0           0
      12 - 13                4.15                   8               0            2            6            0            0            0            0            0            0           0
      13 - 14                1.04                   2               0            1            0            1            0            0            0            0            0           0
      14 - 15                2.59                   5               0            0            1            3            1            0            0            0            0           0
      15 - 16                1.04                   2               0            0            0            2            0            0            0            0            0           0
      16 - 17                1.55                   3               0            1            0            2            0            0            0            0            0           0
      17 - 18                1.04                   2               0            0            0            1            0            1            0            0            0           0
      18 - 19                  0                    0               0            0            0            0            0            0            0            0            0           0
      19 - 20                0.52                   1               0            0            0            0            1            0            0            0            0           0
      20 - 21                  0                    0               0            0            0            0            0            0            0            0            0           0
      21 - 22                  0                    0               0            0            0            0            0            0            0            0            0           0
      22 - 23                  0                    0               0            0            0            0            0            0            0            0            0           0
      23 - 24                  0                    0               0            0            0            0            0            0            0            0            0           0
      24 - 25                  0                    0               0            0            0            0            0            0            0            0            0           0
      25 - 26                  0                    0               0            0            0            0            0            0            0            0            0           0
      26 - 27                  0                    0               0            0            0            0            0            0            0            0            0           0
      27 - 28                  0                    0               0            0            0            0            0            0            0            0            0           0
      28 - 29                  0                    0               0            0            0            0            0            0            0            0            0           0
      29 - 30                0.52                   1               0            0            0            0            1            0            0            0            0           0
      30 - 31                  0                    0               0            0            0            0            0            0            0            0            0           0
      31 - 32                  0                    0               0            0            0            0            0            0            0            0            0           0
      32 - 33                  0                    0               0            0            0            0            0            0            0            0            0           0
       > 33                  0.52                   1               0            1            0            0            0            0            0            0            0           0
 
 
* Data was taken on 24th February, 2022 from NASA Exoplanet Archive
* Unit of radius is in Earth Radii
